ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1706572799999,2024-01-29 23:59,11444.45052499012808733978477,12594.98710463952729657411746,9088.084315304872041819040680
1706587199999,2024-01-30 03:59,11415.78086961474791943182314,12594.98710463952729657411746,9063.772244265836151286816042
1706601599999,2024-01-30 07:59,11409.53874762110959211020506,12564.60058005239504161023647,9055.498297509002969186333141
1706615999999,2024-01-30 11:59,11423.50216743626262763534123,12590.28144117544349028131984,9074.006841912914163268929962
1706630399999,2024-01-30 15:59,11503.08182697601191908156221,12736.64058613518994563135004,9179.489859808086010900678795
1706644799999,2024-01-30 19:59,11603.72495030472087428603944,12921.73865719580609473945515,9312.892546380344236046853342
1706659199999,2024-01-30 23:59,11509.29436545309271878554228,12748.06639299078353508246764,9187.724593547114296403529076
1706673599999,2024-01-31 03:59,11508.99853028751744260916228,12747.52230695004098320384299,9187.332463369065330427202872
1706687999999,2024-01-31 07:59,11502.87474236010922575809620,12736.25972590667015931631279,9179.215368683451734717250453
1706702399999,2024-01-31 11:59,11382.58816403720193244198673,12515.03434174074856546753108,9019.775238288742168743015971
1706716799999,2024-01-31 15:59,11469.09036645141268641549979,12674.12510005387073477737803,9134.434102350259820220797974
1706731199999,2024-01-31 19:59,11451.22192245066600536214757,12641.26230319302060130844932,9110.749439596102275250695262
1706745599999,2024-01-31 23:59,11332.17785182317487198683412,12422.32208039821772534989113,8952.956255949198366377030837
1706759999999,2024-02-01 03:59,11332.17785182317487198683412,12422.32208039821772534989113,8837.934689269792287278103509
1706774399999,2024-02-01 07:59,11332.17785182317487198683412,12422.32208039821772534989113,8895.687080056266314180233862
1706788799999,2024-02-01 11:59,11332.17785182317487198683412,12422.32208039821772534989113,8874.935373536380731632349735
1706803199999,2024-02-01 15:59,11332.17785182317487198683412,12422.32208039821772534989113,8961.935924266919909785931866
1706817599999,2024-02-01 19:59,11332.17785182317487198683412,12422.32208039821772534989113,9024.230197989821724566467047
1706831999999,2024-02-01 23:59,11332.17785182317487198683412,12422.32208039821772534989113,9022.233335664323300585444235
1706846399999,2024-02-02 03:59,11332.17785182317487198683412,12422.32208039821772534989113,9011.974944894115710722150572
1706860799999,2024-02-02 07:59,11332.17785182317487198683412,12422.32208039821772534989113,9059.234019930911744939690461
1706875199999,2024-02-02 11:59,11332.17785182317487198683412,12422.32208039821772534989113,9077.362397513377829316426971
1706889599999,2024-02-02 15:59,11332.17785182317487198683412,12422.32208039821772534989113,9060.252028175283490498643267
1706903999999,2024-02-02 19:59,11332.17785182317487198683412,12422.32208039821772534989113,9010.996090812989032300080566
1706918399999,2024-02-02 23:59,11332.17785182317487198683412,12422.32208039821772534989113,9040.949025695465392015422749
1706932799999,2024-02-03 03:59,11358.36699555538879238098535,12422.32208039821772534989113,9089.461033956103574613212245
1706947199999,2024-02-03 07:59,11337.60962953567986815122601,12365.92745031133623697143967,9061.818194705086175973955277
1706961599999,2024-02-03 11:59,11306.73819282081532078402019,12309.82638877090161985790663,9020.706323297765682247015025
1706975999999,2024-02-03 15:59,11306.00315861331854584670577,12308.49064921041508135520347,9019.727469216639003824945019
1706990399999,2024-02-03 19:59,11305.47393398392086789183938,12307.52891672686477363325719,9019.022694278227795361054615
1707004799999,2024-02-03 23:59,11284.98118027891078263951323,12270.28849778050008017789288,8991.732242496416000953742848
1707019199999,2024-02-04 03:59,11304.00386556892731801721053,12304.85743760589169662785085,9017.064986115974438516914603
1707033599999,2024-02-04 07:59,11268.19299897968444307125178,12239.78020621898754077615253,8969.375215283482665793663912
1707047999999,2024-02-04 11:59,11311.82462953669300335023601,12319.06970652946846629661255,9027.479993539162296927739467
1707062399999,2024-02-04 15:59,11300.24049042654383033816068,12298.01845105620061949401063,9012.053253220605844995916173
1707076799999,2024-02-04 19:59,11235.46927606192802286201362,12180.31308098612684663580751,8925.796631591722942443107246
1707091199999,2024-02-04 23:59,11265.28226351799721431948666,12234.49067755946084830544799,8965.498953122221019242266688
1707105599999,2024-02-05 03:59,11284.33435017631362069467654,12269.11304696727192629551409,8990.870850905024523942321243
1707119999999,2024-02-05 07:59,11325.20225211313430720935853,12343.38016653032346704581020,9045.295137815667844209413576
1707134399999,2024-02-05 11:59,11382.38791345638339733242074,12447.30070433617616255611663,9121.449985327323425446460041
1707148799999,2024-02-05 15:59,11291.50828404148214408286532,12282.14986507762054208189700,9000.424466736820905341724502
1707163199999,2024-02-05 19:59,11308.47287355050770963608223,12312.97873413364985072428611,9023.016418929224643323100240
1707177599999,2024-02-05 23:59,11300.68151095104189530054934,12298.81989479249254259563253,9012.640565669281852049158176
1707191999999,2024-02-06 03:59,11344.84236613744813353439994,12379.07112758652377583803884,9071.450118863372691647124135
1707206399999,2024-02-06 07:59,11375.15517685461513194924680,12434.15702706098862368951746,9111.818061169036909773291182
1707220799999,2024-02-06 11:59,11370.24514834853667536798645,12425.23428679693854649146031,9105.279315907110697913863542
1707235199999,2024-02-06 15:59,11423.90264549580124579193942,12522.74327471245585718879153,9176.735663829358222724973978
1707249599999,2024-02-06 19:59,11527.92468654074483492067674,12711.77713731251078609134380,9315.263093390405753016321225
1707263999999,2024-02-06 23:59,11508.87259988242842854548686,12677.15476790469970810127770,9289.891195607602248316266670
1707278399999,2024-02-07 03:59,11485.67492029383021152384363,12634.99882737574455295596573,9258.998560807244277315737281
1707292799999,2024-02-07 07:59,11480.29446989495381898270204,12625.22121379298309111617854,9251.833348933396991266184837
1707307199999,2024-02-07 11:59,11476.58989748917007329863735,12618.48908640813093706255458,9246.899924364518532018952007
